,vulnName,changeset,CVE,BID,BugzillaOpendate,reporttime,patchrelease
1120,1321038,4417a89bf2ca 1ece17e26bee,CVE-2017-5399,96692,2016-11-29,2017-03-07,2017-03-07
1121,1321066,9271347b07d2 adcc39e3cad0 bbdf2771fc05 c736f46410bf 8b8d2820718f cc272f7d48d3 623b09253994,CVE-2016-9079,94591,2016-11-29,2016-11-30,2016-11-30
1122,1321566,e8a7beb2bf1a 23646223ff69 873a99553516 9d7e7bc831d1,CVE-2017-5399,96692,2016-12-01,2017-03-07,2017-03-07
1123,1321719,cb095e4247e2 1b0e83800dc6,CVE-2017-5415,96692,2016-12-01,2017-03-07,2017-03-07
1124,1321814,7205aedc3051 6512b480a90a 509d5333e21a,CVE-2017-5409,96696,2016-12-02,2017-03-07,2017-03-07
1125,1322107,e4c3aa050fde 0cd75d95f3c0 73f6920fed06,CVE-2017-5380,95769,2016-12-05,2017-01-24,2017-01-24
1126,1322315,81159dae5644 21a5859e934a f4fd63a8302c,CVE-2017-5373,95762,2016-12-06,2017-01-24,2017-01-24
1127,1322420,4e919ac282a4 97f64de95289 46fdbb0954b9 b4c638e2f6e5,CVE-2017-5373,95762,2016-12-07,2017-01-24,2017-01-24
1128,1322716,b1cf1a98659d e579f6ee4c6d,CVE-2017-5425,96692,2016-12-09,2017-03-07,2017-03-07
1129,1322864,c955ff5ec94a 788387ae855e,CVE-2019-17014,,,2020-01-08,2019-12-03
1130,1322971,d956e48d28df,CVE-2017-5398,96651,2016-12-12,2017-03-07,2017-03-07
1131,1323338,06429d283d5b 0041f901b9e4 8f5198636104,CVE-2017-5383,95769,2016-12-13,2017-01-24,2017-01-24
1132,1324000,3a610591e1fc c0ed1d46370d,CVE-2017-5399,96692,2016-12-16,2017-03-07,2017-03-07
1133,1324042,fbf54020043b bec50ba1fb12,CVE-2018-5125,103388,2016-12-16,2018-03-13,2018-03-13
1134,1324379,f54d14f58ce7 e35c1d17cc9b 075fae264dd8,CVE-2017-5398,96651,2016-12-19,2017-03-07,2017-03-07
1135,1324810,12f897d39a02 31c11875a365,CVE-2017-5374,95759,2016-12-20,2017-01-24,2017-01-24
1136,1325052,ace861dd4d03 7fe936056b72 2004932dea6e,CVE-2017-5398,96651,2016-12-21,2017-03-07,2017-03-07
1137,1325200,ee94a9d6cc1c 165b23f87d08 21dab2e6926a ab1fd5b320a4 d51ff865f7da 24aa31d493ed,CVE-2017-5375,95757,2016-12-21,2017-01-24,2017-01-24
1138,1325344,05f02bc144b1 9ec81934225f 08e289b7046a,CVE-2017-5374,95759,2016-12-22,2017-01-24,2017-01-24
1139,1325511,9a103b890855 f1badafad126 aba7f4593fc9,CVE-2017-5411,96692,2016-12-22,2017-03-07,2017-03-07
1140,1325513,3cf4e805acc2,CVE-2017-5470,99041,2016-12-22,2017-06-13,2017-06-13
1141,1325877,99f2e17cae94 21d3da6e4f05 b40eb1f2db20,CVE-2017-5373,95762,2016-12-26,2017-01-24,2017-01-24
1142,1325938,1580921fec8b 5af63cf90f28 36ec7bc916d7,CVE-2017-5373,95762,2016-12-27,2017-01-24,2017-01-24
1143,1328121,cd03cacfcddd,CVE-2017-5416,96692,2017-01-02,2017-03-07,2017-03-07
1144,1328642,c6e104aef85f 8a2f1d1241fa 4025860dec4b,CVE-2016-9893,94885,2017-01-04,2016-12-13,2016-12-13
1145,1328762,06bf49fb5795 d764f41b23b8,CVE-2017-5031,98326,2017-01-04,2017-03-09,2017-03-09
1146,1328834,5a2e4e4e4f0e 142e00af3966 d60102a285f0,CVE-2017-5373,95762,2017-01-05,2017-01-24,2017-01-24
1147,1328861,150d0b07434b 46116604aa0b b000e60212be,CVE-2017-5401,96677,2017-01-05,2017-03-08,2017-03-07
1148,1329403,17542663b564 20159d148182 8e692dd4176c,CVE-2017-5396,95769,2017-01-07,2017-01-24,2017-01-24
1149,1329989,17a962c65f48 1e322cd9c741 09142d07fd73,CVE-2017-5374,95759,2017-01-10,2017-01-24,2017-01-24
1150,1330687,9f2ed9ef1d89,CVE-2017-5410,96693,2017-01-12,2017-03-07,2017-03-07
1151,1330739,28b09080d79a 7fc15cbb8026,CVE-2017-7780,100199,2017-01-12,2017-08-08,2017-08-08
1152,1330769,26ed78caca3d 417ac0789e97 c5b999111882,CVE-2017-5378,95769,2017-01-12,2017-01-24,2017-01-24
1153,1331209,e5169de977fa 63f2e1ab0aca 14f4abe67ddc 501bc06827b6,CVE-2018-5089,102783,2017-01-14,2018-01-23,2018-01-23
1154,1332550,f67c25a9d2a9,CVE-2017-5398,96651,2017-01-19,2017-03-07,2017-03-07
1155,1332569,b6829cff38ee bfd739f11ec6 872d753fafbc,CVE-2017-5399,96692,2017-01-19,2017-03-07,2017-03-07
1156,1333568,20b742119207 1c4be61b3b49 14a2e9a60736,CVE-2017-5398,96651,2017-01-24,2017-03-07,2017-03-07
1157,1333752,4404f99d719a d4a9c3ed6ed9 c4d7b21349ea,CVE-2017-5399,96692,2017-01-25,2017-03-07,2017-03-07
1158,1333858,2275f34b6bb1 9e3e0759726b,CVE-2017-5459,97940,2017-01-25,2017-04-19,2017-04-19
1159,1333887,0b83dd97c786 04578bce528a f961305ce9f0,CVE-2017-5398,96651,2017-01-25,2017-03-07,2017-03-07
1160,1334246,07f8e7798ab5 55a727b43285 ed33bb3a76d3,CVE-2017-5399,96692,2017-01-26,2017-03-07,2017-03-07
1161,1334290,f54a857324e4 17c1ac3fe6cc c17f3d7837f0,CVE-2017-5399,96692,2017-01-26,2017-03-07,2017-03-07
1162,1334876,c28daa723e08,CVE-2017-5402,96664,2017-01-29,2017-03-08,2017-03-07
1163,1335450,492fa407d12c da5ad9931c81 6975b54ba600,CVE-2017-5398,96651,2017-01-31,2017-03-07,2017-03-07
1164,1336467,ddef07d1ef6c 3707c5162a5a e48cd1b9b444,CVE-2017-5399,96692,2017-02-03,2017-03-07,2017-03-07
1165,1336622,cd4c3caf3725 c005b505ce54 7b8aa893944b,CVE-2017-5407,96693,2017-02-03,2017-03-07,2017-03-07
1166,1336699,d6f4704c8718 f33a97693508 ae84530a2103,CVE-2017-5405,96693,2017-02-03,2017-03-07,2017-03-07
1167,1336828,487284fbb1d6 fa31c6b83545,CVE-2017-5438,97940,2017-02-05,2017-04-19,2017-04-19
1168,1336830,fbec5d7bd756 cc44bcedcee2,CVE-2017-5439,97940,2017-02-05,2017-04-19,2017-04-19
1169,1336832,7d216471a7c2 6188b6cab49e,CVE-2017-5440,97940,2017-02-05,2017-04-19,2017-04-19
1170,1336979,b29bc19a99d5,CVE-2017-7768,99057,2017-02-06,2017-06-13,2017-06-13
1171,1337304,4f8620080eef c51d7c9daa24 69819951895f 0a1c7512c881,CVE-2017-5397,,2017-02-07,2018-06-11,2017-02-09
1172,1338383,baaf5d85129f 7597080fcccb 1726fe19115e,CVE-2017-5398,96651,2017-02-09,2017-03-07,2017-03-07
1173,1338876,40a559d54731 36663347138d 197dde7656f8 1c01e2aa7bf0,CVE-2017-5418,96692,2017-02-12,2017-03-07,2017-03-07
1174,1339116,8160ed6f7ef5 46ac98292527 1e3e791a5d2e,CVE-2017-5399,96692,2017-02-13,2017-03-07,2017-03-07
1175,1339566,0f1afbc59a1c db2e6ff03ae1 72ec61c54de3,CVE-2017-5399,96692,2017-02-14,2017-03-07,2017-03-07
1176,1339591,33f49f751b63 e2244b774969 758af211353c,CVE-2017-5399,96692,2017-02-14,2017-03-07,2017-03-07
1177,1339722,cf3c1b2f1fad e8da840aef36,CVE-2017-5430,97940,2017-02-15,2017-04-19,2017-04-19
1178,1340127,eb6b998cfa79 0da8d305ce00,CVE-2017-5449,97940,2017-02-16,2017-04-19,2017-04-19
1179,1340138,b76ee87a9589 d1e712e5d17f da387e840c73,CVE-2017-5404,96664,2017-02-16,2017-03-08,2017-03-07
1180,1340482,0fff3bdd02a7 3d0b8766a2a5,CVE-2017-5430,97940,2017-02-17,2017-04-19,2017-04-19
1181,1341096,7861d97f9ec8 2f76881b7ba2,CVE-2017-5429,97940,2017-02-20,2017-04-19,2017-04-19
1182,1341905,37a4221a0512 75e0388a1c2b 68157e467e6c,CVE-2017-5399,96692,2017-02-22,2017-03-07,2017-03-07
1183,1342101,44cf8184d1a6 b32458403f1f,CVE-2017-5430,97940,2017-02-23,2017-04-19,2017-04-19
1184,1342181,e9068fac3968,CVE-2017-5471,99042,2017-02-23,2017-06-13,2017-06-13
